Roll no,Name,Address,Phone ,Mobile,DOB,Gender,City,State
SCETTYMI01,RITIK Kumar ,tingre nagar,77567434,1234567890,5/6/1999,Male ,pune,maharashtra
SCETTYMI02,RakeshPatil,kate vasti ,54343434,3534564645,5/7/1999,Female,mumbai,maharashtra
SCETTYMI03,Rushikesh Bhadage,kate vasti ,35534334,7566453467,5/8/1999,Male ,pune,maharashtra
SCETTYMI04,AkanshaKumari,tingre nagar,97876765,2455454257,5/9/1999,Female,kolhapur,maharashtra
SCETTYMI05,Tushar Desai,mj road,98765654,8786767454,5/10/1999,Male ,pabal,maharashtra
SCETTYMI06,Tejas Dhakad,jm road,97560845,9786434678,5/11/1999,Female,jalgaon,maharashtra
SCETTYMI07,ShubhamJoshi,mgroad,45236459,5353687646,5/12/1999,Male ,nagpur,maharashtra
SCETTYMI08,AkankshaKothari,sane chawk,11235312,8675653674,5/13/1999,Male ,mumbai,maharashtra
SCETTYMI09,MonikaSreedharan,chinchwad,64534126,8566568457,5/14/1999,Female,hyderabad,tamilnadu
SCETTYMI10,ShraddhaJadhav,balaji chawk,89076797,5756564646,5/15/1999,Female,shimala,j&k
SCETTYMI11,Rawal Pandey,moshi road,12345678,7556565666,5/16/1999,Male ,anantagad,j & k
SCETTYMI12,HarshalBorhade,rahul phata,89074563,7565656575,5/17/1999,Male ,shrinagar,j & k
SCETTYMI13,Ajinkya Choudhari,kate nagar,56342312,5656565634,5/18/1999,Male ,nagpur,maharashtra
SCETTYMI14,PrajaktaYadav,kate vasti ,42424234,8676755645,5/19/1999,Female,gadchiroli,maharashtra
SCETTYMI15,PoojaSawant, shivaji chawk,78875645,8675346789,5/20/1999,Male ,yavtmal,maharashtra
SCETTYMI16,AtishBargaje,sathe chawk,87643698,8857867553,5/21/1999,Female,parbhani,maharashtra
SCETTYMI17,Rushikesh Kadam ,patil vasti,12365356,7030756474,5/22/1999,Male ,akola,maharashtra
SCETTYMI18,NileshWani,patil vasti,57678934,9823538253,5/23/1999,Female,nashik,maharashtra
SCETTYMI19,PRANAVMORE,patil nagar,86763458,9823938789,5/24/1999,Male ,pune,maharashtra
SCETTYMI20,JayeshShelar,mane chawk,34357097,9822125161,5/25/1999,Male ,jalgaon,maharashtra
