ADATE;Terry;Adams;1932 52nd Ave.;Vancouver;BC;V4T 1Y9;Canada;(604) 555-0193
ALLMI;Michael;Allen;130 17th St.;Vancouver;BC;V4T 1Y9;Canada;(604) 555-0192
CHANE;Neil;Charney;1842 10th Avenue;Sidney;BC;V7L 1L3;Canada;(604) 555-0181
CLAMO;Molly;Clark;785 Beale St.;Sidney;BC;V7L 5A6;Canada;(604) 555-0180
FENHA;Hanying;Feng;537 Orchard Ave.;Victoria;BC;V8C 3Z1;Canada;(604) 555-0170
FREJO;John;Fredericksen;43 rue St. Laurent;Montréal;Québec;H1P 1G4;Canada;(514) 555-0167
LUGJO;Jose;Lugo;23 Tsawassen Blvd.;Tsawassen;BC;V6E 4S8;Canada;(604) 555-0132
MORJO;Jon;Morris;490 Fulton Dr.;Vancouver;BC;V4T 2A2;Canada;(604) 555-0121
MYEKE;Ken;Myer;7320 Edwards Ave.;Vancouver;BC;V5J 2G3;Canada;(604) 555-0120
TEJSA;Sameer A.;Tejani;1900 Oak St.;Vancouver;BC;V5H 1L7;Canada;(604) 555-0199
TIAMI;Mike;Tiano;5540 Rosebud Place;Victoria;BC;V7Y 1Y1;Canada;(604) 555-0197
WANJI;JianShuo;Wang;3319 Hillside Dr.;Vancouver;BC;V5K 2V6;Canada;(604) 555-0193
