ACKPI;Pilar;Ackerman;8808 Backbay St.;Bellevue;WA;88004;USA;(425) 555-0194
ASHCH;Chris;Ashton;89 Cedar Way;Redmond;WA;88052;USA;(425) 555-0191
BANMA;Martin;Bankov;78 Riverside Dr.;Woodinville;WA;88072;USA;(425) 555-0190
BENPA;Paula;Bento;6778 Cypress Pkwy.;Oak Harbor;WA;88277;USA;(360) 555-0189
BERJO;Jo;Berry;407 Sunny Way;Kirkland;WA;88053;USA;(425) 555-0187
BERKA;Karen;Berg;PO Box 69;Yakima;WA;88902;USA;(509) 555-0188
BOSRA;Randall;Boseman;55 Grizzly Peak Rd.;Butte;MT;49707;USA;(406) 555-0186
BRETE;Ted;Bremer;311 87th Pl.;Beaverton;OR;87008;USA;(503) 555-0185
BROKE;Kevin F.;Browne;666 Fords Landing;Seattle;WA;88121;USA;(206) 555-0184
CAMDA;David;Campbell;22 Market St.;San Francisco;CA;84112;USA;(415) 555-0183
CANCH;Chris;Cannon;89 W. Hilltop Dr.;Palo Alto;CA;84306;USA;(415) 555-0182
COLPA;Pat;Coleman;876 Western Ave.;Seattle;WA;88119;USA;(206) 555-0179
CORCE;Cecilia;Cornejo;778 Ancient Rd.;Bellevue;WA;88007;USA;(425) 555-0178
COXBR;Brian;Cox;14 S. Elm Dr.;Moscow;ID;73844;USA;(208) 555-0177
CULSC;Scott;Culp;14 E. University Way;Seattle;WA;88115;USA;(206) 555-0176
DANMI;Mike;Danseglio;55 Newton;Seattle;WA;88102;USA;(206) 555-0174
DANRY;Ryan;Danner;33 Neptune Circle;Langley;WA;88260;USA;(360) 555-0175
DOYPA;Patricia;Doyle;1630 Hillcrest Way;Carmel Valley;CA;83924;USA;(408) 555-0173
ERIGA;Gail A.;Erickson;908 W. Capital Way;Tacoma;WA;88405;USA;(253) 555-0172
ESTMO;Modesto;Estrada;511 Lincoln Ave.;Burns;OR;87710;USA;(503) 555-0171
FLOKA;Kathie;Flood;8887 Western Ave.;Glendale;CA;81203;USA;(713) 555-0169
FORGA;Garth;Fort;23 W. 48th St. #2;Redmond;WA;88053;USA;(425) 555-0168
FUNDO;Don;Funk;1815 Yolo St.;Seattle;WA;88117;USA;(425) 555-0166
GABRO;Ron;Gabel;507 - 20th Ave. E., Apt. 2A;Seattle;WA;88122;USA;(206) 555-0165
GANJO;Jon;Ganio;45 Winding Wood Blvd.;Seattle;WA;88103;USA;(206) 555-0164
GILGU;Guy;Gilbert;79 S. Wyatt St.;Clinton;WA;88236;USA;(360) 555-0163
GLYJI;Jim;Glynn;12 Linden Terrace;Walla Walla;WA;89362;USA;(509) 555-0162
GODSC;Scott;Gode;612 E. 2nd;Pocatello;ID;73204;USA;(208) 555-0161
GRACH;Chris;Gray;48 Aurora Hwy.;Seattle;WA;88103;USA;(206) 555-0160
HARTO;Tommy;Hartono;66 Cactus St.;Seattle;WA;88118;USA;(206) 555-0159
HEEGO;Gordon L.;Hee;115 Leary Wy.;Seattle;WA;88117;USA;(206) 555-0157
HELAN;Anne;Hellung-Larsen;City Center Plaza, 516 Main St.;Elgin;OR;87827;USA;(503) 555-0158
HIGSY;Sydney;Higa;72 West St.;Portland;OR;87201;USA;(503) 555-0156
HILAN;Andrew R.;Hill;89 Jefferson Way, Suite 2;Portland;OR;87210;USA;(503) 555-0155
HOEHE;Helge;Hoeing;431 Freemont St.;Bellevue;WA;88005;USA;(425) 555-0154
HOFRO;Roland;Hofmann;42 El Camino Dr.;Seattle;WA;88108;USA;(425) 555-0153
HOLHO;Holly;Holt;18 Canyon Rd.;Newcastle;WA;88056;USA;(425) 555-0151
HOLMI;Michael;Holm;4220 Main St.;Bellevue;WA;88006;USA;(425) 555-0152
HOLNI;Nicole;Holliday;82 E. South Way;Seattle;WA;88122;USA;(206) 555-0149
HONQI;Qin;Hong;234 Samuel Pl.;Carnation;WA;88014;USA;(425) 555-0150
HOUPE;Peter;Houston;11 Skyline Blvd.;Kirkland;WA;88033;USA;(425) 555-0148
JACLO;Lola;Jacobsen;998 Kirk Rd.;Bellingham;WA;88227;USA;(360) 555-0147
JIAST;Stephen Yuan;Jiang;7316 Taylor Landing Rd.;Duvall;WA;88019;USA;(425) 555-0146
JOHDA;David;Johnson;9878 Jefferson Circle;Seattle;WA;88144;USA;(425) 555-0145
KANJO;John;Kane;4110 Old Redmond Rd.;Redmond;WA;88052;USA;(206) 555-0144
KANLO;Lori;Kane;1002 Green St.;Granite Falls;WA;88252;USA;(360) 555-0143
KEIKE;Kendall;Keil;17604 NW 43rd Ave.;Seattle;WA;88107;USA;(206) 555-0142
KELBO;Bob;Kelly;6 Cranbrook Hollow;Duvall;WA;88019;USA;(425) 555-0141
KENKE;Kevin;Kennedy;566 Queen Anne Way;Redmond;WA;88053;USA;(206) 555-0140
KHAKA;Karan;Khanna;401 Rodeo Dr.;Auburn;WA;88001;USA;(253) 555-0139
KIMSH;Shane;Kim;33 Hilo Loop SW;Kirkland;WA;88032;USA;(425) 555-0138
KLISE;Sergey;Klimov;333 Baseline Ave.;Kenmore;WA;88028;USA;(425) 555-0137
KOCRE;Reed;Koch;4568 Spaulding Ave. N.;Seattle;WA;88103;USA;(206) 555-0136
KODSU;Sunil;Koduri;1522 Ballard Rd.;Seattle;WA;88117;USA;(206) 555-0135
LANER;Eric;Lang;991 S. Mississippi Rd.;Bothell;WA;88011;USA;(206) 555-0134
LEVST;Steven B.;Levy;507 20th Ave. E.;Seattle;WA;88102;USA;(206) 555-0133
LUMRI;Richard;Lum;187 Suffolk Ln.;Boise;ID;73704;USA;(208) 555-0131
MANPA;Parul;Manek;77 Olive Ave.;Provo;UT;74606;USA;(801) 555-0130
